Dagaare,English
boroto,big and round
boroto,fall flat
borɔbɛ,pineapple fruit or plant
borɔborɔ,dull colour
borɔso,brush
bosaraa,young female goat
boseɛ,a necklace made of huge beads
bovammo,a type of bow
bovaraa,castrated goat
bowola,how many times
boyaa,expression of surprise
boyaaŋ,expression of surprise
boyoɔbo,six times
boyɔpõi,seven times
bozeɛ,dog
bɔ,to search  to look for  to court  to engage in sexual intercourse
bɔ,to clean a very dirty place or thing
bɔbɔe,duck
bɔbɔlaa,a wild animal like a dog
bɔe,servant
bɔ̃ee,"calmly, slowly"
bɔge,to grind into smooth flour
bɔge,to hit with many arrows  to sting or bite many times  insects   to apply poisonous lotion to arrows
bɔge,to put a fence around something
bɔge,shoulder  forelimb of an animal
bɔgebie,misfortune
bɔgebiesoba,unfortunate person  unlucky person
bɔgebogerɔ,sorcerer
bɔgedie,room for divining
bɔgele,to stalk  hunting   to feel
bɔgemaale,the act of making sacrifice
bɔgeŋmampegere,shoulder
bɔgeŋmampere,shoulder blade
bɔgeŋmane,forearm
bɔgere,part
bɔgere,fetish
bɔgesaa,counsellor for a person being initiated into the bagre cult
bɔgesoŋ,luck
bɔgetaŋkpolo,cult members
bɔgɔ,track
bɔgɔ,shoulder
bɔlaa,long
bɔle,ball
bɔle,field rat
bɔlembɔ,bottle
bɔll,long and roundish
bɔlle,to move all over an object  insects   to smear liquid on a surface in an untidy way
bɔlɔmbɔlɔŋ,smooth and shiny
bɔmbɔrezeɛ,a type of snake
bɔmbɔroŋ,a type of snake
bɔmpɔrɔ,mumps
bɔndaa,lizard  variation of ‘bandaa’ individual  and ‘baŋa’ dialectal  
bɔŋenaa,type of tree
bɔŋenɔ,witty person
bɔŋɔ,lizard
bɔŋɔ,bangle
bɔɔ,to dress very well
bɔɔderoo,plantain
bɔɔdoa,towel
bɔɔre,sacrifice
bɔre,to break off a large chunk  from a bigger mass 
bɔre,to blossom
bɔre,to get lost
bɔre,puff adder  a thick large poisonous snake
bɔreferoo,pawpaw
Bɔrefɔ,English
bu,to get wet
bu,to measure  liquid 
bu,to ponder
bufuli,a blood-sucking maggot-like worm
bugagu,a type of tree
bugi,to be confused
bugi,to pound into powder
bugi,to make fresh mounds  farming 
bugikpara,a moulded granary with two apartments
bugili,to tend  seed 
bugiliŋe,lid for a barn or granary
bugimoɔ,a type of grass
bugipelaa,a small granary
bugita,kettle
bugo,granary
bukulo,perish completely
bulee,well
buli,to germinate
buli,sprout
buliba,to run fast
bulinimiri,the point in a well from which water flows out
bulli,to collect bits of water flowing from a well or hole  e.g. during drought 
bulo,soup from seed or nuts  beans
bulugiri,a container made from a gourd
buluuri,a fat goat
bumbunturi,a type of tree with edible fruits
buŋi,to get mouldy  seed 
buo,which one  interrogative pronoun 
buoli,to nurse  a seedling 
buori,to hurt
buori,which  interrogative pronoun 
buri,to soften by moistening
buri,to gain weight
buri,to immerse a container in liquid or powder to fill it
buriburi,to be confused
buriburi,state of confusion
burimo,a type of wild animal the size of a zebra
buro,in dry powdered form  flour 
buroni,white man
buroŋ-buroŋ,done haphazardly  without order 
burri,to fool
buseli,very heavy object
buulaa,playground
buuli,an insect that makes honey in the ground
buuli,bells worn on the wrist to play xylophone
buuli,nurse  seed 
buuli,to boil  first stage in making porridge paste  saabo 
buuli,to murmur
buulo,something that complements or adorns another thing
buulunwala,light porridge
buulunwoɔlɔ,porridge used in the preparation of TZ
buuluŋ,porridge
buuluŋ,fleshy portion  meat 
da,past tense marker
da,time in the past  olden days
da,to push
da,to blow  wind 
da,to wander  in the bush 
da,to buy
daa,stick
daa,gun
daa,market  place for buying and selling
daa,day or occasion for buying and selling
daa,week  six-day 
daa,cost
daa,last time
daa,to push
daa,male  nonhuman 
dãa,brewed drink
dãabeene,fermented pito
dãabeerɛ,second stage in brewing pito
dãabele,pito yeast
dãabinnaa,pito reserved for a regular customer
dãabiri,residue from pito  local beer 
dãabiri,chaff of pito malt
daadaa,straight ahead
dãada,the act of buying alcohol
daa-daa,weekly  from time to time
dãadaara,one who buys alcohol
dãadagoli,one who loves drinking alcholic beverages
dãadie,pito shop
dãadoge,pito pot or pot of pito
dãadogerɔ,brewer
dãafaare,bad alcoholic beverage
dãafaraa,well-fermented pito
dãagyemɛ,soda from pito brewing
dãakaraa,unfermented pito
dãakonni,pito that is fermenting
dãakoɔre,residue of pito from the last brewing stage
dãakɔgere,the first stage of pito brewing
dãakuoli,drunkenness
da akuolo,drunk
daale,to float  to be suspended  on liquid 
daama,state of ease  freedom
Daana,God
Daana,owner
daane,to change
daanyu,the act of drinking alcohol
daanyuuro,alcoholic
dãaŋmane,calabash used for drinking pito
dãapare,residue of pito from the pot
dãapelaa,palm wine
dãapɔge,pito brewer or seller
daare,to get out of control.  bad behaviour 
daare,firewood  collective 
daare,day before yesterday  last time
daaroŋ,cost of
dãasenyoɔle,sugar ant
dãa-so,a ritual that involves bathing a corpse with pito before burial
dãasunni,sticky substance from pito
dãasuoro,a corpse that is to be bathed with pito before burial
dãatambalaaraa,sweet pito
dãateɛ,grapevine
dãatuo,pito meant for a ritual
daayi,to stand out
daa yiee,well done!
daara yire,before now
daayire,early in the morning
daayiribe,early in the morning
daayiraa,early in the morning
dãazeɛ,locally brewed beer  pito 
dãazu,the first pito to be poured from the pot
dãazukpala,pito without yeast froth
dabaala,effort
dabaaraa,a threeforked stick on which pots or calabashes are placed
dabagelakala,an expression of surprise at something great
dabaŋkalɛ,looking back with dissatisfaction  had I known
dabaŋkoroŋ,prior knowledge
dabẽe,juice
dabẽɛ,fear
dabẽɛ,fear
dabegere,piece of
dabegere,a type of white ant
dabilikpeo,a type of tree with medicinal properties and edible fruits
dabilkaŋkanyogelɔ,small twigs used as firewood
dabiltuo,a bitter herb used to treat abdominal problems
dabodabo,duck
dabogi,hole in a tree
dabolore,a type of tree with medicinal properties and edible fruits
daboorabɔge,praying mantis
dabozẽe,a type of small brown bird
dabɔge,a type of large bird  carnivorous 
dabɔgɔ,fenced enclosure  garden
dabɔle,round smooth stick
dabɔlmakasogi,a type of tall straw hat
Dabuo,name traditionally given to one born after the death of the father
dabuo,abandoned house
dabuori,when  interrogative pronoun 
dadagere,a kind of fish
daduŋi,wood weevil
daga,box
Dagaare,Dagaare  a language of the Moore-Gurma family
dagaŋgaanaa,large vine of a creeping or climbing plant
dagaŋgaŋ,wit
Dagao,native speaker of Dagaare
Dagara,the Dagaare language  North Dagaare variant 
dagaraa,cross  symbol of Christianity
dageliŋe,lid of a box
dagoli,cudgel  a hookshaped stick used in throwing
daguo,club with a knobbed end  a short
Dagbɛmmo,a native speaker of the Dagbaane language
Dagbɛnne,Dagbaane language
Dagbɛnnoo,a native speaker of the Dagbaane language
dagboli,large piece of wood  firewood 
dagbollo,the fifth day from now
dagbuli,the act of buying as a whole
dagbulo,appellation of a kinship group
dagyu,a type of large
daha,a type of game similar to chess
dakala,dried sperm
dakogi,chair
dakogidɛllaa,chair with a back
dakogilee,small stool
dakoɔre,bachelor
dakoɔroŋ,celibacy
dakyeɛraa,something used for cutting wood
dakyeɛrɛko,woodpecker
dakye-nɔguu,parrot
dakyeraa,canary  parrot  weaver  bird 
dakyɛ,carelessness
dala,conceited talk  arrogance
dalaa,small drum made with hide and the rim of a pot
dalaraa,small drum made with hide and the rim of a pot
dalee,dry twig
daleerɛ,total knowledge of
dalege,stampede
dalempoɔ,area without vegetation cover
dalendeɛloo,leech  a blood-sucking aquatic worm
daliiri,substance
dalogeraa,wood bug
dalogi,area where one piles up firewood for use in the kitchen
daloraa,neat stack of firewood
dalugiri,Y-shaped plank that supports roof beams
daluri,a type of calabash
damadama,big
damagara,act of showing wit  adeptness
damannaa,measuring stick  example
dambo,soup not spiced
damboli,stupid or foolish person
Dakoraa,name traditionally given to a reincarnated male child
dakoraa,walking stick with a curved top
dakoroŋ,former times  olden days
dakɔɔre,armlet made from enamel
dakɔɔre,cob  maize 
dakuoŋaa,dry or dead wood
Dakpaa,name of a village  a kinship group
dakpaa,a type of wasp
Dakpaaloo,member of the Dakpaa kinship group
dakpalori,a type of small bug that sucks blood
dakpele,hard wood
dakpiri,stump
Dakpɔge,a kinship group
dakyage,lazy chair  for men 
dakyara,forked piece of wood
Dakyeeloo,member of some type of kinship  Dakyeɛ  group
dakyeerekpaglaga,a type of tree
dakyeɛ,brother- or sister-in-law
dakyeɛraa,tree meant to be felled
damɔlɔ,cheap price  be inexpensive 
dampoɔ,an area without vegetation cover  short form of dalempoɔ 
dampuori,the back of a house
damui,a type of tree with medicinal properties
dandamiine,a type of red ant  found in trees 
dandayieni,a type of small toad
dandɔɔ,owner  male 
danduli,caterpillar
daneenɛ,the fifth day from today
danegere,a type of honeycomb where bees store their food
daneŋenɛ,the sixth day from today
danfaraŋ,numb
dankyimmiri,layer of a wall  horizontal layer of plaster
dankyini,wall
dankyin-ŋmaa,broken wall  reduced in height 
dankyinsɛgeraa,chalkboard  writing wall 
dankyinsɔglaa,blackboard  black wall 
dankyinsɔɔraa,blackboard  blackened wall 
dankyiŋkogilaa,inner corner of a wall e.g. a room
dankyo,single-barreled gun
danne,to praise
dannoŋ,praise
danooraa,a type of wood bug
danse,a paid dance session
danseɛ,witness
danseɛsoba,witness
Danteɛ,a town in the Upper West Region
Danteɛloo,a member of the Danteɛ clan
dantiŋ,a type of tree
danwẽɛ,first
danyagela,the sixth day coming
danyagere,root
danyaŋe,quickly
daŋ,before
daŋaa,hearth  fireplace for cooking
daŋaa,big and heavy
daŋe,to be ahead of  to beat
daŋe,be early
daŋena,stack of pots on top of one another
daŋgoɔne,cliff
daŋgbala,bare and open place
daŋgbale,walking stick
daŋkasaŋ,bloated-looking
daŋkuuri,stone used to support a cooking pot in the hearth
daŋŋa,mischief
Daŋyi,name traditionally given to the firstborn of a set of twins
daŋmaa,log
daŋmeɛlɛ,the sixth day from today
daŋmeɛraa,stick used to beat someone
daoo,large and firm-looking
da-ɔɔraa,chewing stick  tooth cleaner 
dapaaloŋ,vanity
dapare,dwelling place of the dead  heaven
daparedaa,death
daparekpeɛŋaa,strong spirit
daparenuulee,cockalo
daparoo,soul or spirit of the dead
dapeɛlkammo,a type of bean
daperaa,small dove or pigeon  grey and red 
daperekalonni,a type of trap for birds
daperenyaa,the breast of a type of dove
dapɛɛre,immature tree or wood
dapɛge,bark  of tree 
dapɛle,splinter of wood
dapɛlemɛ,splinters of wood
dapɛlɛŋe,a type of tiny wild bat
dara,a game played by moving small pins into marked-out holes
daransaŋ,heavy
dare,to be hysterical
dare,to harden  to get accustomed to something unpleasant
Dasãã,name traditionally given to a child born on a rainy day
dasaŋa,olden times
dasaraa,plank
daseelɛ,suicide
dasɛgeraa,piece of wood used to cover gaps between bigger plunks of wood in an earth-constructed roof
dasɛrɛɛ,small sticks that are used to close a gap in a thatch earth-made roof of a building
dasugo,many kinds of trees
dasuoluŋ,shadow
dataa,rival  antagonist
datara,third day from now
datuo,a type of tree with medicinal properties and edible fruits
datuo,being expensive
dave,spoke
daveene,a type of small bird with very thin legs
daveraŋkantoll,last warning  last chance
davoro,courtyard
davuo,a hollowed out log
dawɛge,a big plunk of wood used in the construction of earth-made roof
dawɛrɛ,person who saws or splits wood
daworo,a type of bell used in music and to call for attention
dayeni,once
dayere,the day after tomorrow
dayieni,a type of small toad
dayuu,giant rat
dazɛllaa,swing
dazugivũu,intense fire  hell  inferno
de,to take  to accept  to believe
dedeekɔɔ,act of standing steadily e.g. a child beginning to walk
dẽe,unlimited
deedee,straight  upright
deɛ,just
deɛ,to remain somewhere
dẽɛ,to play  to joke
dẽɛbaŋ,drama  play
dẽɛdẽɛkaraa,lead player  protagonist
dẽɛdeɛnɛ,one who plays e.g. of a child  a character in a story
dẽɛkakalle,rough  dangerous play e.g. throwing hard objects at each other
dẽɛkoɔbo,farmwork done for one’s in-law
dẽɛkuori,funeral of an in-law
dẽɛkpãao,guineafowl meant for one’s in-law
deɛlaa,nightjar
deɛle,to glide away from the target  to deviate  to deflect  to dodge
deɛle,to spread out  to dry   to expose completely  to float on liquid
deɛlɛɛpoo,drizzle
dẽɛmakoma,grandmother-in-law
dẽɛmɛ,in-law  father or mother   son-in-law
deɛmɛkonlɔŋ,the first layer of TZ in a bowl
dẽɛmpɔge,mother-in-law
deɛnaa,plaything  toy
deɛndɔɔ,father-in-law
deɛne,play  joke  drama
deɛraa,instrument for scraping and smoothing the edge of objects
deɛre,to trim  to cut to make even  mouth of calabash 
dẽɛsãakoma,grandfather-in-law
dẽɛyiri,house of an in-law
degedaga,thick  heavy  immovable
degere,dwarf  one stunted in growth
degili,not to be of substance  to marry one’s sibling’s husband
deli,to have one’s eyes dazzled  to look without seeing
deme,own
demee,unidentified people  owners
demm,large  upright
dendãee,appearing suddenly and frighteningly
dendege,a woman given in marriage to her sister’s husband
dendeŋe,upright
dendeŋŋe,dagger  the longest toe of a bird
dendɔgaŋe,bastard
dendɔlee,bastard
dendɔmɔ,enemy
dendɔre,doorway  frontage of the main house
deni,that which belongs to  possessive pronoun 
denni,to carry on one’s head without the support of one’s hands
deŋgeluu,sweet potato
deŋgereŋ,upright  stiff  unbending and strong
deŋo,preference  wish  not caring about others 
deraa,strong and hard  unbendable
deree,negligence  carelessness
deri,to harden  to go into a state of convulsion or collapse in hysteria
detaareŋ,3 years ago
deyɛŋ,last year
dɛ,to cut to make even  fingernails 
dɛbiri,stair
dɛbogi,step on a ladder  stairs
dɛdɛrɛɛ,shallow
dɛ̃ɛ,open and endless
dɛge,to be dirty
dɛgelɛkɛlɛ,fatty and plentiful
dɛgere,dirt
dɛgere iribu,circumcision  male   excision  female 
dɛlle,to lean against  to rely upon for support
dɛlle,to stage a corpse
dɛlle,to remove the top layer of liquid  to decant  to skim
dɛmɛdɛmɛ,making an effort
dɛmɛdɛmɛ,full to capacity with liquid  big  fat  tall  long
dɛmmo,conversation  talk  a pending problem
